"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.05.2021","200,87","200,75","201,59","200,59","-","0,44%"
"20.05.2021","200,00","201,44","201,80","199,96","-","-0,92%"
"19.05.2021","201,86","203,32","203,34","200,32","-","-1,90%"
"18.05.2021","205,78","207,07","207,59","204,30","-","-0,08%"
"17.05.2021","205,94","204,03","206,22","203,52","-","1,30%"
"14.05.2021","203,29","203,97","204,69","202,89","-","0,17%"
"13.05.2021","202,95","205,16","205,66","202,33","-","-2,41%"
"12.05.2021","207,96","208,64","209,52","207,80","-","0,20%"
"11.05.2021","207,55","205,90","207,79","204,89","-","0,68%"
"10.05.2021","206,16","207,68","208,09","205,26","-","-0,39%"
"07.05.2021","206,96","205,68","207,18","204,69","-","0,83%"
"06.05.2021","205,25","204,42","205,61","204,06","-","0,55%"
"05.05.2021","204,14","204,20","204,40","203,09","-","0,83%"
"04.05.2021","202,45","202,68","203,10","201,46","-","0,80%"
"03.05.2021","200,85","200,67","201,82","200,18","-","0,55%"
"30.04.2021","199,76","199,19","200,01","198,60","-","-0,45%"
"29.04.2021","200,67","201,64","202,41","199,53","-","0,16%"
"28.04.2021","200,36","199,56","201,67","199,40","-","0,13%"
"27.04.2021","200,09","199,63","200,17","198,51","-","1,00%"
"26.04.2021","198,11","195,47","198,35","195,23","-","1,05%"
"23.04.2021","196,06","195,21","196,15","194,93","-","0,71%"
"22.04.2021","194,68","193,52","195,19","193,35","-","0,53%"
"21.04.2021","193,66","193,11","194,33","191,95","-","-0,06%"
"20.04.2021","193,78","194,86","195,19","192,60","-","-0,10%"
"19.04.2021","193,98","193,95","194,54","193,32","-","0,40%"
"16.04.2021","193,21","194,18","194,57","193,10","-","-0,34%"
"15.04.2021","193,86","192,69","193,94","192,23","-","0,73%"
"14.04.2021","192,45","189,67","192,66","189,65","-","2,29%"
"13.04.2021","188,14","186,66","188,53","186,65","-","0,93%"
"12.04.2021","186,41","187,72","188,06","186,14","-","-0,18%"
"09.04.2021","186,74","187,54","187,57","186,50","-","-0,33%"
"08.04.2021","187,37","186,29","187,60","186,03","-","0,57%"
"07.04.2021","186,31","186,16","186,46","184,82","-","0,25%"
"06.04.2021","185,84","185,65","187,41","185,44","-","0,96%"
"05.04.2021","184,08","185,87","186,25","183,17","-","-1,41%"
"01.04.2021","186,70","185,63","187,37","184,67","-","0,94%"
"31.03.2021","184,96","185,05","186,75","184,04","-","0,05%"
"30.03.2021","184,87","186,13","186,45","184,48","-","-1,42%"
"29.03.2021","187,53","187,71","188,03","185,95","-","-0,11%"
"26.03.2021","187,73","184,54","188,15","184,54","-","1,84%"
"25.03.2021","184,35","186,29","186,29","183,28","-","-1,90%"
"24.03.2021","187,91","185,64","188,02","185,44","-","1,85%"
"23.03.2021","184,50","186,30","187,34","184,09","-","-2,41%"
"22.03.2021","189,06","188,47","189,27","187,82","-","0,15%"
"19.03.2021","188,79","187,20","189,13","185,43","-","0,88%"
"18.03.2021","187,14","192,82","192,82","186,88","-","-2,87%"
"17.03.2021","192,68","192,51","192,85","191,72","-","-0,39%"
"16.03.2021","193,43","192,40","193,59","192,38","-","0,01%"
"15.03.2021","193,42","193,58","193,68","191,85","-","-0,19%"
"12.03.2021","193,79","193,67","194,54","193,21","-","-0,39%"
"11.03.2021","194,54","193,24","194,59","192,79","-","1,45%"
"10.03.2021","191,76","191,22","192,12","190,51","-","0,22%"
"09.03.2021","191,34","192,58","192,61","190,69","-","-0,49%"
"08.03.2021","192,28","193,73","193,79","191,72","-","-0,60%"
"05.03.2021","193,45","192,33","193,64","191,71","-","1,42%"
"04.03.2021","190,75","189,44","192,98","189,30","-","0,41%"
"03.03.2021","189,96","190,45","190,77","189,35","-","-0,01%"
"02.03.2021","189,98","189,55","191,18","188,61","-","0,32%"
"01.03.2021","189,37","192,10","192,31","188,62","-","-0,56%"
"26.02.2021","190,43","191,80","192,98","190,30","-","-2,13%"
"25.02.2021","194,59","196,11","196,15","193,65","-","-0,28%"
"24.02.2021","195,13","193,64","195,31","192,81","-","1,37%"
"23.02.2021","192,50","192,87","193,09","190,86","-","-0,06%"
"22.02.2021","192,62","188,98","192,75","188,73","-","2,12%"
"19.02.2021","188,62","188,35","190,01","188,10","-","-0,02%"
"18.02.2021","188,67","189,54","189,84","187,82","-","-0,00%"
"17.02.2021","188,68","188,53","188,93","186,82","-","0,54%"
"16.02.2021","187,67","187,20","187,74","186,33","-","1,28%"
"12.02.2021","185,29","183,22","185,67","183,15","-","0,89%"
"11.02.2021","183,65","183,96","184,78","183,36","-","-0,23%"
"10.02.2021","184,07","184,29","184,44","183,38","-","-0,08%"
"09.02.2021","184,22","183,96","184,36","182,85","-","0,37%"
"08.02.2021","183,55","182,64","183,67","182,44","-","1,19%"
"05.02.2021","181,39","181,65","182,09","180,94","-","0,64%"
"04.02.2021","180,24","179,50","180,38","178,16","-","0,67%"
"03.02.2021","179,05","178,51","179,64","178,34","-","0,58%"
"02.02.2021","178,02","178,69","179,02","177,85","-","0,45%"
"01.02.2021","177,23","176,37","177,25","175,39","-","1,74%"
"29.01.2021","174,20","175,41","176,15","174,15","-","-0,05%"
"28.01.2021","174,29","175,01","176,85","174,20","-","-0,59%"
"27.01.2021","175,33","176,14","176,23","174,02","-","-0,05%"
"26.01.2021","175,42","175,00","175,70","174,92","-","0,57%"
"25.01.2021","174,44","173,20","174,46","172,75","-","0,92%"
"22.01.2021","172,85","172,27","173,82","172,00","-","-1,32%"
"21.01.2021","175,16","175,25","175,34","174,46","-","0,01%"
"20.01.2021","175,14","174,74","175,35","174,31","-","0,17%"
"19.01.2021","174,85","175,39","175,62","174,67","-","-0,23%"
"15.01.2021","175,25","176,51","176,59","174,79","-","-0,86%"
"14.01.2021","176,77","175,30","176,84","174,32","-","0,90%"
"13.01.2021","175,19","176,26","176,50","174,82","-","0,14%"
"12.01.2021","174,95","174,39","175,19","173,42","-","1,29%"
"11.01.2021","172,73","172,45","172,77","171,22","-","-0,36%"
"08.01.2021","173,35","172,81","173,39","172,06","-","0,60%"
"07.01.2021","172,31","172,22","172,70","171,59","-","0,12%"
"06.01.2021","172,11","172,05","172,67","171,21","-","0,23%"
"05.01.2021","171,70","168,73","172,05","168,42","-","2,60%"
"04.01.2021","167,35","169,21","170,45","166,69","-","-0,27%"
"31.12.2020","167,80","166,66","167,83","166,34","-","0,67%"
"30.12.2020","166,68","165,79","166,77","165,21","-","0,79%"
"29.12.2020","165,37","164,76","165,63","164,62","-","0,76%"
"28.12.2020","164,13","165,50","165,67","164,02","-","-0,86%"
"24.12.2020","165,55","164,92","165,75","164,72","-","0,16%"
"23.12.2020","165,28","164,14","165,83","163,92","-","1,02%"
"22.12.2020","163,61","164,16","164,55","163,50","-","-0,74%"
"21.12.2020","164,83","163,58","164,95","162,79","-","-0,98%"
"18.12.2020","166,45","165,69","166,64","165,53","-","0,58%"
"17.12.2020","165,49","164,38","165,57","164,30","-","1,00%"
"16.12.2020","163,86","163,09","163,98","162,80","-","0,51%"
"15.12.2020","163,02","162,45","163,21","162,23","-","0,48%"
"14.12.2020","162,24","162,31","162,68","160,67","-","0,61%"
"11.12.2020","161,25","161,27","161,78","160,76","-","-0,09%"
"10.12.2020","161,39","159,84","162,72","159,69","-","1,55%"
"09.12.2020","158,92","158,80","159,39","157,94","-","0,40%"
"08.12.2020","158,28","158,45","158,89","157,89","-","-0,42%"
"07.12.2020","158,95","158,31","160,01","158,16","-","-0,59%"
"04.12.2020","159,89","159,78","160,31","159,11","-","0,37%"
"03.12.2020","159,31","159,05","159,82","158,63","-","-0,07%"
"02.12.2020","159,42","158,27","160,43","158,05","-","0,30%"
"01.12.2020","158,94","160,32","160,56","158,68","-","-0,70%"
"30.11.2020","160,06","160,69","161,28","159,34","-","-0,57%"
"27.11.2020","160,97","160,55","161,10","160,11","-","0,36%"
"25.11.2020","160,39","159,97","161,01","159,50","-","0,37%"
"24.11.2020","159,79","157,51","159,98","157,47","-","1,57%"
"23.11.2020","157,33","157,39","157,65","156,68","-","0,75%"
"20.11.2020","156,16","156,17","156,44","155,07","-","0,73%"
"19.11.2020","155,03","154,72","155,12","154,44","-","-0,44%"
"18.11.2020","155,72","156,05","156,47","155,47","-","0,78%"
"17.11.2020","154,52","154,05","154,58","153,20","-","0,46%"
"16.11.2020","153,82","154,11","154,56","153,33","-","1,29%"
"13.11.2020","151,86","152,43","153,13","151,82","-","-0,76%"
"12.11.2020","153,01","153,46","154,48","152,91","-","-0,41%"
"11.11.2020","153,65","154,95","155,26","153,51","-","0,06%"
"10.11.2020","153,55","151,79","153,60","151,47","-","1,52%"
"09.11.2020","151,25","151,69","152,84","150,99","-","2,41%"
"06.11.2020","147,70","148,18","149,08","147,64","-","-0,98%"
"05.11.2020","149,16","149,19","150,36","148,89","-","0,17%"
"04.11.2020","148,90","148,09","149,01","146,77","-","1,28%"
"03.11.2020","147,02","147,66","147,77","146,69","-","0,77%"
"02.11.2020","145,91","143,16","146,01","143,15","-","0,81%"
"30.10.2020","144,73","144,79","144,85","143,52","-","-0,06%"
"29.10.2020","144,81","144,66","145,25","142,70","-","-1,26%"
"28.10.2020","146,66","147,71","147,80","146,41","-","-2,68%"
"27.10.2020","150,71","150,15","151,09","149,42","-","0,88%"
"26.10.2020","149,39","149,83","149,92","148,75","-","-0,86%"
"23.10.2020","150,68","151,75","152,11","150,33","-","-0,71%"
"22.10.2020","151,77","151,54","152,58","150,93","-","0,48%"
"21.10.2020","151,04","152,06","152,73","150,76","-","-0,84%"
"20.10.2020","152,33","151,87","152,58","150,97","-","0,47%"
"19.10.2020","151,61","151,93","152,39","151,52","-","0,09%"
"16.10.2020","151,48","151,60","151,75","150,65","-","-0,17%"
"15.10.2020","151,74","150,15","151,78","148,94","-","0,15%"
"14.10.2020","151,51","150,00","151,56","149,79","-","0,75%"
"13.10.2020","150,38","150,49","150,84","149,73","-","0,39%"
"12.10.2020","149,80","151,73","151,85","149,63","-","-1,27%"
"09.10.2020","151,74","151,36","152,60","151,27","-","0,35%"
"08.10.2020","151,22","150,77","151,37","150,47","-","1,11%"
"07.10.2020","149,56","149,56","149,63","148,08","-","0,04%"
"06.10.2020","149,51","148,56","150,13","148,55","-","1,45%"
"05.10.2020","147,37","146,24","148,15","146,17","-","2,26%"
"02.10.2020","144,12","143,53","145,13","142,59","-","-1,32%"
"01.10.2020","146,06","147,77","148,16","144,56","-","-1,65%"
"30.09.2020","148,51","146,18","148,70","145,88","-","1,19%"
"29.09.2020","146,76","147,94","148,22","145,53","-","-1,32%"
"28.09.2020","148,73","148,41","149,15","147,79","-","0,25%"
"25.09.2020","148,36","147,61","148,55","147,45","-","0,00%"
"24.09.2020","148,36","147,57","148,49","146,81","-","0,42%"
"23.09.2020","147,74","147,32","148,85","147,23","-","0,15%"
"22.09.2020","147,52","148,74","148,77","146,79","-","-0,21%"
"21.09.2020","147,82","150,06","150,29","147,00","-","-2,45%"
"18.09.2020","151,54","150,75","151,58","150,14","-","0,50%"
"17.09.2020","150,78","149,74","151,06","148,59","-","0,70%"
"16.09.2020","149,74","148,78","149,84","148,32","-","1,34%"
"15.09.2020","147,76","146,93","148,01","146,36","-","0,86%"
"14.09.2020","146,50","146,78","146,89","146,01","-","0,06%"
"11.09.2020","146,41","146,49","147,01","145,34","-","0,16%"
"10.09.2020","146,17","146,37","147,52","146,13","-","-0,61%"
"09.09.2020","147,08","146,14","147,42","145,67","-","0,74%"
"08.09.2020","146,00","146,88","146,93","144,59","-","-2,47%"
"04.09.2020","149,69","151,24","151,29","148,68","-","-0,48%"
"03.09.2020","150,42","149,82","151,03","149,23","-","-0,67%"
"02.09.2020","151,44","153,06","153,20","151,13","-","-1,24%"
"01.09.2020","153,34","153,95","154,50","153,29","-","0,08%"
"31.08.2020","153,21","154,48","154,65","152,95","-","-0,15%"
"28.08.2020","153,44","153,12","153,72","152,61","-","0,48%"
"27.08.2020","152,70","152,09","153,12","151,56","-","0,16%"
"26.08.2020","152,46","152,84","153,19","152,27","-","-0,12%"
"25.08.2020","152,64","152,09","152,88","151,97","-","0,91%"
"24.08.2020","151,26","151,01","151,73","150,88","-","0,87%"
"21.08.2020","149,96","149,86","150,02","148,69","-","-0,57%"
"20.08.2020","150,82","151,03","151,28","149,62","-","-0,78%"
"19.08.2020","152,00","151,28","152,08","151,00","-","0,20%"
"18.08.2020","151,69","151,02","151,75","150,51","-","0,54%"
"17.08.2020","150,87","149,52","150,91","149,39","-","1,12%"
"14.08.2020","149,21","149,26","149,88","148,79","-","0,18%"
